depth_m,filename,frame_no
82.6,'01747003,34928
62.9,'01747003,45008
62.9,'01747003,45113
63.0,'01747003,45218
63.0,'01747003,45323
82.5,'01747003,35033
82.3,'01747003,35978
62.9,'01747003,45428
63.1,'01747003,45533
63.4,'01747003,45638
64.1,'01747003,45743
64.3,'01747003,45848
64.8,'01747003,45953
65.9,'01747003,46058
65.7,'01747003,46163
65.9,'01747003,46268
66.0,'01747003,46373
82.2,'01747003,36083
65.9,'01747003,46478
65.9,'01747003,46583
66.0,'01747003,46688
66.1,'01747003,46793
66.0,'01747003,46898
65.2,'01747003,47003
64.2,'01747003,47108
63.4,'01747003,47213
62.8,'01747003,47318
61.8,'01747003,47423
82.2,'01747003,36188
61.6,'01747003,47528
61.3,'01747003,47633
61.1,'01747003,47738
60.5,'01747003,47843
60.0,'01747003,47948
59.9,'01747003,48053
60.1,'01747003,48158
60.0,'01747003,48263
59.7,'01747003,48368
59.7,'01747003,48473
82.2,'01747003,36293
59.5,'01747003,48578
59.5,'01747003,48683
59.6,'01747003,48788
59.6,'01747003,48893
59.7,'01747003,48998
59.8,'01747003,49103
59.8,'01747003,49208
60.0,'01747003,49313
62.0,'01747003,49418
63.6,'01747003,49523
82.2,'01747003,36398
63.7,'01747003,49628
63.6,'01747003,49733
63.6,'01747003,49838
63.7,'01747003,49943
63.7,'01747003,50048
64.3,'01747003,50153
64.3,'01747003,50258
64.3,'01747003,50363
64.4,'01747003,50468
63.6,'01747003,50573
81.9,'01747003,36503
62.7,'01747003,50678
62.0,'01747003,50783
60.5,'01747003,50888
59.9,'01747003,50993
59.5,'01747003,51098
59.4,'01747003,51203
59.6,'01747003,51308
59.5,'01747003,51413
59.6,'01747003,51518
60.0,'01747003,51623
81.7,'01747003,36608
59.9,'01747003,51728
60.0,'01747003,51833
60.2,'01747003,51938
60.1,'01747003,52043
60.1,'01747003,52148
60.3,'01747003,52253
60.3,'01747003,52358
81.6,'01747003,36713
81.5,'01747003,36818
81.1,'01747003,36923
82.4,'01747003,35138
80.7,'01747003,37028
80.5,'01747003,37133
80.6,'01747003,37238
80.3,'01747003,37343
80.4,'01747003,37448
80.3,'01747003,37553
80.3,'01747003,37658
80.2,'01747003,37763
80.2,'01747003,37868
79.8,'01747003,37973
82.3,'01747003,35243
79.8,'01747003,38078
79.6,'01747003,38183
79.3,'01747003,38288
79.0,'01747003,38393
78.7,'01747003,38498
78.1,'01747003,38603
78.1,'01747003,38708
78.1,'01747003,38813
78.1,'01747003,38918
78.1,'01747003,39023
82.3,'01747003,35348
77.7,'01747003,39128
77.3,'01747003,39233
77.4,'01747003,39338
77.3,'01747003,39443
77.4,'01747003,39548
77.2,'01747003,39653
76.9,'01747003,39758
76.8,'01747003,39863
